title,artist,sitter,gender,size,objectType,place,date,thumbnail,mediaURLs
General John Cadwalader,"Charles Willson Peale, born Queen Anne's County, MD 1741-died Philadelphia, PA 1827",John Cadwalader,male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1788""}","https://ids.si.edu/ids/iiif/SAAM-1999.27.30_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1999.27.30_1]
George Clinton,,"George Clinton, 26 Jul 1739 - 20 Apr 1812",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1806""}","https://ids.si.edu/ids/iiif/NPG-NPG_84_172/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_84_172]
George Clymer,Unidentified Artist,"George Clymer, 16 Mar 1739 - 25 Jan 1813",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1807-10""}","https://ids.si.edu/ids/iiif/NPG-7200010A/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-7200010A]
George Fisher,"Raphaelle Peale, born Annapolis, MD 1774-died Philadelphia, PA 1825","George Fisher
George Fisher
George Fisher",male,Miniature,"{""Type"": ""Painting-Miniature""}",,"{""Date"": ""ca. 1795""}","https://ids.si.edu/ids/iiif/SAAM-1950.4.24_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-1950.4.24_1]
George Read,"Robert Edge Pine, c. 1730 - 1788","George Read, 18 Sep 1733 - 21 Sep 1798",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1784""}","https://ids.si.edu/ids/iiif/NPG-NPG_72_4/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_72_4]
George Rogers Clark,,"Gen. George Rogers Clark, 19 Nov 1752 - 13 Feb 1818",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1810""}","https://ids.si.edu/ids/iiif/NPG-NPG_69_48/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_69_48]
George Washington,"Rembrandt Peale, 22 Feb 1778 - 3 Oct 1860","George Washington, 22 Feb 1732 - 14 Dec 1799",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1795""}","https://ids.si.edu/ids/iiif/NPG-NPG_65_59/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_65_59]
George Washington,"Robert Edge Pine, c. 1730 - 1788","George Washington, 22 Feb 1732 - 14 Dec 1799",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1785""}","https://ids.si.edu/ids/iiif/NPG-NPG_80_16GW-000001/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_80_16GW-000001]
George Washington,,George Washington,male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""1803?""}","https://ids.si.edu/ids/iiif/SAAM-XX108A_1/full/250,/0/default.jpg",[https://ids.si.edu/ids/deliveryService?id=SAAM-XX108A_1]
George Washington,"Ellen Wallace Sharples, 1769 - 1849","George Washington, 22 Feb 1732 - 14 Dec 1799",male,Regular,"{""Type"": ""Painting""}",,"{""Date"": ""c. 1803""}","https://ids.si.edu/ids/iiif/NPG-NPG_2013_142GW-000001/full/250,/0/default.jpg","[https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2013_142GW-000001, https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2013_142GW_int, https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2013_142versoGW_int]"
